Parcel_name,Transfer_date,Plot_number,Land_area,Volme_rate,Winner
建邺区新城科技园D-15地块(NO.2019G22)成交信息,2019/6/18,NO.2019G22,24437.60平方米 ,2.58,保利江苏房地产发展有限公司
栖霞区龙潭新城二（一）地块(NO.2019G24)成交信息,2019/6/18,NO.2019G24,59919.66平方米 ,2.16,南京裕辰房地产开发有限公司
栖霞区红枫片区加油站地块(NO.2019G25)成交信息,2019/6/18,NO.2019G25,1665.59平方米 ,≤0.8,南京新港开发总公司
江宁区东山街道天靖路以南，环镇东路以西地块(NO.2018G66)成交信息,2018/12/28,NO.2018G66,24217.46平方米 ,≤2.5,宁波昀茂置业有限公司
江宁区禄口街道空港新城仁寿路以南、羲和路以东地块(NO.2018G67)成交信息,2018/12/28,NO.2018G67,27559.17平方米 ,≤1.5,南京天建房地产开发有限公司
江宁区麒麟街道地铁小镇国七（03-055）地块(NO.2018G68)成交信息,2018/12/28,NO.2018G68,25754.30平方米 ,≤1.7,南京锦阳房地产开发有限公司
栖霞区马群科技园Q地块(No.宁 2018GY13)成交信息,2019/1/16,No.宁 2018GY13,36232.34平方米 ,≤1.8,南京恒电电子有限公司
栖霞区尧化村地块(No.宁 2018GY14)成交信息,2019/1/16,No.宁 2018GY14,33578.64平方米 ,≤1.3,杭州恒生科技园运营管理有限公司
浦口区江浦街道浦云路以东、紫创路以南01地块(NO.2018G69)成交信息,2019/1/22,NO.2018G69,47787.42平方米 ,≤2.5,南京国立资产管理有限责任公司
江宁区禄口街道空港新城越秀路以南、乾清路以西地块(NO.2018G70)成交信息,2019/1/22,NO.2018G70,93287.68平方米 ,≤1.5,南京港通建设发展有限公司
栖霞区龙北大道南侧地块(No.宁 2019GY03)成交信息,2019/2/22,No.宁 2019GY03,399858.6平方米 ,≤2,南京知行电动汽车有限公司
栖霞区宝港路以东地块(No.宁2019GY01)成交信息,2019/2/26,No.宁2019GY01,43436.92平方米 ,≤1.5,江苏颐唐国际物流发展有限公司
栖霞区恒飞路南侧地块(No.宁2019GY02)成交信息,2019/2/26,No.宁2019GY02,66220.69平方米 ,≤2.5,江苏森源家电科技有限公司
南京江北新区产业技术研创园YCY-ky-002地块(No.宁新区2019GY02)成交信息,2019/3/4,No.宁新区2019GY02,7041.55平方米 ,≤3,南京追唐科技发展有限公司
NO.宁化（2018）GY001地块(No.宁新区2019GY01)成交信息,2019/3/4,No.宁新区2019GY01,118732.65平方米 ,≤1.2,蓝星安迪苏南京有限公司
栖霞区迈皋桥街道合班村288号地块(NO.2019G01)成交信息,2019/3/29,NO.2019G01,90424.47平方米 ,≤2.6,成都新希望置业有限公司
雨花台区西善桥街道宁芜铁路以南C2、C3地块(NO.2019G02)成交信息,2019/3/29,NO.2019G02,67389.32平方米 ,2.5,上海漫珑企业管理有限公司
雨花台区中国（南京）软件谷菊花里地块(NO.2019G03)成交信息,2019/3/29,NO.2019G03,9566.81平方米 ,≤3.0,南京雨花建设发展有限公司
秦淮区南部新城校场一路北侧地块(NO.2019G04)成交信息,2019/3/29,NO.2019G04,7647.55平方米 ,≤3.0,南京市南部新城开发建设（集团）有限公司
江宁区汤山旅游度假区美泉路以南、宁泉路以西A-G地块(NO.2019G05)成交信息,2019/3/29,NO.2019G05,226048.90平方米 ,0.94,南京苏豪康养小镇投资有限公司
江宁区麒麟街道地铁小镇青龙片区03-009地块（办1）(NO.2019G06)成交信息,2019/3/29,NO.2019G06,22954.73平方米 ,≤2.0,南京新基安成科技发展有限公司
江宁区东山街道南京南站中轴地块（站西26-27号）(NO.2019G07)成交信息,2019/3/29,NO.2019G07,27577.98平方米 ,5.79,金轮国际创丰有限公司
